# Date: 2019/01/15
# Synergy Agility kernel input data
43	1.31103	1.28955	1.27248	1.26417	1.24788	1.23613	1.20684	1.19847	1.17497	1.15779	1.13884	1.13559
44	1.30459	1.28563	1.26485	1.26045	1.24425	1.23259	1.2029	1.19684	1.17118	1.1548	1.13836	1.13089
45	1.29638	1.28098	1.2653	1.25741	1.24183	1.22786	1.20037	1.19575	1.16653	1.15381	1.13359	1.13089
46	1.29123	1.27009	1.25921	1.25374	1.23517	1.22373	1.19812	1.19111	1.16291	1.15281	1.13216	1.12994
47	1.28407	1.26621	1.25247	1.24853	1.22942	1.22078	1.19447	1.1892	1.15981	1.14833	1.13168	1.12476
48	1.27803	1.25975	1.24719	1.24117	1.22821	1.21429	1.18828	1.1843	1.15981	1.14584	1.12595	1.12335
49	1.27063	1.25437	1.24467	1.23764	1.21944	1.21015	1.18462	1.18321	1.15568	1.14087	1.12214	1.12241
50	1.26644	1.24777	1.24043	1.23476	1.21883	1.20838	1.18181	1.17775	1.15051	1.13987	1.12214	1.12053
51	1.25821	1.24512	1.23315	1.23149	1.2149	1.20189	1.17506	1.17448	1.14999	1.13639	1.12023	1.11723
52	1.25558	1.23879	1.22948	1.2258	1.21141	1.20071	1.17506	1.17121	1.14534	1.13464	1.11689	1.11394
53	1.24887	1.23552	1.2216	1.21825	1.20514	1.19362	1.17197	1.16903	1.14224	1.13415	1.11355	1.11347
54	1.24303	1.23171	1.21833	1.21491	1.20213	1.19185	1.16888	1.16467	1.1412	1.12967	1.11212	1.11017
55	1.24091	1.22246	1.21393	1.21009	1.19864	1.18772	1.16522	1.16031	1.13733	1.12668	1.10973	1.10687
56	1.22824	1.21892	1.20547	1.2048	1.19372	1.183	1.16241	1.15812	1.13448	1.12419	1.10878	1.1064
57	1.22497	1.20787	1.20501	1.20192	1.18948	1.17875	1.15932	1.15213	1.13164	1.12071	1.10568	1.10593
58	1.22138	1.20442	1.19791	1.19422	1.18226	1.17344	1.15369	1.1494	1.12751	1.11648	1.10377	1.10169
59	1.21424	1.20211	1.19325	1.19195	1.18036	1.17131	1.1506	1.14722	1.12492	1.11598	1.10043	1.09887
60	1.20761	1.19385	1.18957	1.1883	1.17702	1.1647	1.14835	1.13959	1.12208	1.11349	1.09804	1.09887
